A	B	M	N	R	    	Y		devR	V		I		Mi  mdelay  IPW stack
2	16	7	8	1.050820	3.8400	0.0	57.1930	54.4270	16.010	10.030	7.720	7.680	7.200	5.810	6.130	5.680	5.130	4.350	4.230	3.670	3.350	3.420	2.620	2.780	2.390	1.870	1.960	1.980	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
2	16	8	9	1.029618	2.9200	0.0	56.0390	54.4270	7.550	6.530	5.100	5.530	4.750	3.560	4.570	4.560	3.860	3.380	3.930	2.810	2.850	2.710	2.260	2.240	1.810	1.780	1.970	1.740	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
2	16	9	10	1.101806	2.6200	0.0	59.9680	54.4270	5.640	5.210	4.290	4.930	4.350	3.670	4.270	3.770	3.290	3.190	3.380	2.730	2.370	2.720	2.190	2.120	1.850	1.480	1.790	1.540	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
2	16	10	11	1.302074	3.0200	0.0	70.8680	54.4270	12.040	8.050	6.480	6.590	5.750	4.600	4.950	4.370	3.870	3.420	3.280	3.110	2.590	2.690	2.240	2.000	1.780	1.500	1.610	1.440	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
2	16	11	12	1.911974	5.5300	0.0	104.0630	54.4270	27.220	16.870	13.220	11.930	10.440	9.150	8.950	8.010	7.100	6.140	5.830	5.150	4.710	4.430	3.710	3.330	3.140	2.650	2.540	2.290	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
2	16	13	14	5.841365	4.7700	0.7	317.9280	54.4270	31.230	17.200	13.120	11.110	9.620	8.400	7.660	7.000	6.250	5.320	4.660	4.110	3.650	3.370	2.920	2.450	2.110	1.890	1.620	1.510	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	5	6	4.390682	2.8100	0.0	285.9300	65.1220	14.690	8.630	7.040	6.030	5.330	4.900	4.440	4.080	3.690	3.200	2.830	2.590	2.390	2.170	1.940	1.690	1.480	1.330	1.190	1.090	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	6	7	2.836952	2.5000	0.0	184.7480	65.1220	7.640	5.810	5.350	4.840	4.450	4.310	3.930	3.670	3.430	3.160	2.770	2.590	2.420	2.180	2.020	1.730	1.600	1.480	1.240	1.140	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	7	8	1.455115	3.3900	0.1	94.7600	65.1220	11.480	8.190	7.210	6.350	5.840	5.650	5.130	4.950	4.690	4.210	3.650	3.440	3.240	2.880	2.670	2.370	2.000	2.010	1.910	1.580	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	8	9	1.210559	3.2400	0.0	78.8340	65.1220	10.900	7.580	6.800	5.960	5.450	5.300	4.760	4.440	4.240	3.910	3.660	3.290	2.990	2.770	2.780	2.240	2.120	1.960	1.640	1.700	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	9	10	1.085424	3.2800	0.0	70.6850	65.1220	10.410	7.490	6.890	5.970	5.570	5.710	5.030	4.640	4.580	4.200	3.460	3.460	3.000	2.650	2.560	2.400	2.150	1.990	1.840	1.510	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	10	11	1.094331	3.1900	0.0	71.2650	65.1220	10.840	7.580	6.900	6.020	5.440	5.460	4.750	4.510	4.340	3.700	3.330	3.430	3.150	2.700	2.480	2.260	1.940	1.900	1.940	1.370	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	11	12	1.388855	3.8900	0.0	90.4450	65.1220	14.070	9.890	8.620	7.490	6.860	6.660	5.960	5.500	5.220	4.660	4.270	3.900	3.400	3.330	3.050	2.750	2.310	2.230	2.010	1.820	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	12	13	2.110055	4.0000	0.0	137.4110	65.1220	14.600	10.230	8.970	7.950	7.230	6.810	6.230	5.770	5.350	4.830	4.260	4.030	3.600	3.320	3.120	2.710	2.400	2.260	2.040	1.840	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	13	14	3.250653	3.8800	0.4	211.6890	65.1220	19.420	12.040	9.820	8.350	7.450	6.830	6.270	5.820	5.210	4.510	4.070	3.700	3.260	2.870	2.740	2.280	1.880	1.760	1.680	1.540	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
3	17	14	15	5.389699	5.0200	0.6	350.9880	65.1220	28.010	15.960	12.800	10.950	9.720	8.820	7.960	7.330	6.580	5.750	5.120	4.620	4.130	3.780	3.370	2.890	2.530	2.240	1.990	1.800	40.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	40.00	40.00	40.00	40.00	40.00	40.00	80.00	80.00	80.00	80.00	80.00	80.00	3
